Quarter,Date,School Name,UNITID,Fossil Fuel Exposure,Divested?,Type of Divestment,"Able to confirm ""rejection""","Type of ""no""",Key NO Text,Reason for rejection,NAS Citation,Relevant links,MY CODES:,Substitute Sustainability,Substitute Sustainability Education,Substitute Impact Investing,Fiduciary,Apolitical,Not Enough Comparable Institutions Divesting,Ineffective,No Consensus on Effectiveness,Unpredictable,Contradictory,No Political Consensus,Insufficient Campus Discourse,Focus on Consumption,Insufficient Moral Case,Shareholder Engagement,Risk Losing Company Donors,Previous Action Enough,Slippery Slope,Fossil Fuels are Necessary,Criticism of Divestment Movement Tactics,Too Complicated,Fossil Fuel Companies = Green Energy Companies,NAS CODES:,Costs,Donor Intent,Fiduciary,Substitute Academic Study of Sustainability,Target Consumption Instead,Shareholder Engagement,Too Political,Anti-Intellectual,Slippery Slope,Ineffective,Fossil Fuels are Necessary,Not Enough Peer Institutions,Does Not Discriminate Better From Worse Fossil Fuel Companies
2013 Q4,1-Oct-13,CUNY Brooklyn College,190549,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY City College,190567,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY Graduate School and University Center,190576,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY Hostos Community College,190585,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY Hunter College,190594,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY John Jay College of Criminal Justice,190600,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY Kingsborough Community College,190619,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY LaGuardia Community College,190628,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY Lehman College,190637,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
2013 Q4,1-Oct-13,CUNY Medgar Evers College,190646,,No,NA,Yes,Unconditional,"""Administration officials told students that divestment was out of the question . . . the board has not budged, arguing that divestment could limit investment returns and hurt financial aid scholarships.""",Fiduciary,"__UNY Divest History,_ CUNY Divest, June 22, 2015. http://www.cunydivest.org/history.html.","https://www.psc-cuny.org/clarion/october-2016/divesting-fossil-fuels-cuny, https://www.wsj.com/articles/cuny-is-pressured-to-divest-itself-of-investments-in-fossil-fuel-companies-1416193565", ,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,
